raw_name,canonical_name
*Piramal Payment Services Ltd,*Piramal Payment Services Ltd
A U Small Finance Bank Limited,A U Small Finance Bank Limited
A. P. Mahesh Co-operative Urban Bank Limited,A. P. Mahesh Co-operative Urban Bank Limited
Aditya Birla Capital Digital Limited,Aditya Birla Capital Digital Limited
Airtel Payments Bank Limited,Airtel Payments Bank Limited
Amazon Pay (India) Private Limited (formerly Amazon Online Distribution Services Private Limited),Amazon Pay (India) Private Limited (formerly Amazon Online Distribution Services Private Limited)
Amica Payment Services Private Limited,Amica Payment Services Private Limited
Appnit Technologies Private Limited,Appnit Technologies Private Limited
Axis Bank Limited,Axis Bank Limited
Bajaj Finance Limited,Bajaj Finance Limited
Balancehero India Private Limited,Balancehero India Private Limited
Bank of Baroda,Bank of Baroda
Bank of India,Bank of India
Bank of Maharashtra,Bank of Maharashtra
CANARA BANK,CANARA BANK
CSC Governance Service India Limited,CSC Governance Service India Limited
Cashfree Payments India Private Limited,Cashfree Payments India Private Limited
Central Bank of India,Central Bank of India
City Union Bank Limited,City Union Bank Limited
DBS Bank India Limited,DBS Bank India Limited
Delhi Metro Rail Corporation Limited,Delhi Metro Rail Corporation Limited
Dreampurse Technologies Private Limited (Formerly Hip Bar Private Limited),Dreampurse Technologies Private Limited (Formerly Hip Bar Private Limited)
Ebix Payment Services Private Limited (formerly Itz Cash Card Private Limited),Ebix Payment Services Private Limited (formerly Itz Cash Card Private Limited)
Equitas Small Finance Bank Limited,Equitas Small Finance Bank Limited
Eroute Technologies Private Limited,Eroute Technologies Private Limited
Euronet Services India Private Limited,Euronet Services India Private Limited
Fino Payments Bank Limited,Fino Payments Bank Limited
HDFC Bank Limited,HDFC Bank Limited
Hindon Mercantile Limited,Hindon Mercantile Limited
I Money Pay Private Limited (formerly E-Meditek Global Private Limited),I Money Pay Private Limited (formerly E-Meditek Global Private Limited)
ICICI Bank Limited,ICICI Bank Limited
IDBI Bank Limited,IDBI Bank Limited
IDFC FIRST Bank Limited,IDFC FIRST Bank Limited
In-Solutions Global Ltd,In-Solutions Global Ltd
India Transact Services Limited,India Transact Services Limited
Indian Bank,Indian Bank
Indian Overseas Bank,Indian Overseas Bank
IndusInd Bank Limited,IndusInd Bank Limited
Jio Payments Bank Limited,Jio Payments Bank Limited
Karnataka Bank Limited,Karnataka Bank Limited
Karur Vysya Bank Limited,Karur Vysya Bank Limited
Kotak Mahindra Bank Limited,Kotak Mahindra Bank Limited
LivQuik Technology (India) Private Limited,LivQuik Technology (India) Private Limited
Manappuram Finance Limited,Manappuram Finance Limited
